,rating,title,comment,date,country
10,5.0,I needed a new scientific calculator,"I needed a new scientific calculator and this unit fit the demands I require of a calculator. My smartphone had these functions but I needed a calculator I could keep on my desk in the light and could be used without interruptions, such as an incoming call. The price for this calculator was very low and that made the purchase of this calculator my best choice.","July 17, 2022",the United States
11,5.0,Great little calculator,"I needed a basic calculator for my grad school work to crunch some survey and research numbers/data. This little thing fit the ticket and is very versatile. I remember using one throughout grade school and high school and it hasn't changed a bit since then. Same, tried and trued design. If you don't need graphing capabilities (and I don't) then this is a great tool.","May 31, 2022",the United States
12,5.0,Faithful and reliable,I have had this exact calculator for over 20 years.  I'm a pharmacist and use my calculator daily.  I finally had to replace it after 20 years and bought the exact same one!,"July 29, 2022",the United States
13,5.0,"Good, approved scientific calculator","This is the calculator that our Chemistry teacher approved for our Graduate Chem Course.I have used all kinds of calculators from the simplest one to TI84s.This is the best calculator for students who like to write out entire equations(instead of a multi-step process, i.e. (1x3x5)^4 rather than 1X3, then 2x5.....) It provides a 2-line view meaning after you punch in the equation, you are able to see the answer as well as what you input. You also have the option to edit your original input. And if you're like me and are always making careless errors this calculator is for you.I consider myself pretty technological. It was pretty hard to go from all the functionalities of a graphing calculator.I have taken all my graduate school tests using this calculator. Some of the students (mostly guys) found a Casio calculator to be a good option.But as someone who needs to be able to double check, edit, and double check answers again. This was the best option for me.Also, it's solar powered so no dead batteries here.","November 19, 2015",the United States
14,5.0,The White One is Awesome,"I really, really don't like the fact that I was required to buy this calculator for a Calculus class that I never wanted to take, but this totally does what it's supposed to do.I got the white one, which was totally a good idea for an extra $2 or whatever it was. I've seen it laying around several times and thought ""I wonder if I lost my calculator...?"" and then I check my bookbag and it's totally mine. If you would prefer to not lose the one thing keeping you from having a breakdown in your math class, opt for one of the less common colors.People complement my white calculator all the time, and honestly out of my class of 200 college kids, I've never seen another one.","March 11, 2017",the United States
15,5.0,Calculator recommended for middle school,"Durable case keeps it protected. The blue color is very nice. It works well, and it is the scientific calculator recommended for our middle school student. The brand is well known and makes great calculators. The instructions are to the point and thorough. Great calculator at a great price!!","July 5, 2022",the United States
16,5.0,recommended by Algebra II teacher,"My son is in 10th grade taking Algebra II and this specific model and brand was recommended by his teacher so all my son had to do is a pick the color and it was delivered in fast 2 days, thanks to Amazon Prime.I do like that it works on battery as well as solar power so as long as there's enough indoor lights, which will save battery life.  It's very sturdy and it comes with a protective case that can be snapped back of the calculator when in use.THE BOTTOM LINE:5 out of 5 stars.  Highly recommended.  Hope this helps and let me know if you have any questions.","September 25, 2019",the United States
17,5.0,"I've actually owned several of these!  If you can't use a graphing calculator, then this is the model to use.","This model from Texas Instruments was the gold standard for me throughout algebra and then again in graduate school.  For calculus and pre-calculus, I switched to the TI-89 graphing model.  After a certain point in school, the graphing calculator becomes unnecessary for daily needs (and not allowed).At that point, I purchased another one of these TI-30's.  This calculator has all of the basic functions along with the logarithmic functions (ln and log).Advantages:-Calculator is portable, reliable.-Many standardized tests will not allow graphing calculators.  In that case, this is the calculator to use.-The buttons are well spaced (much better than those small, solar powered, small blue calculators).-No additional batteries required (solar powered).Disadvantages:-If you are in high level calculus, you will likely need and want graphing functions.  Otherwise, this is a much more reliable and portable calculator.-If you are in high level financial courses, you will likely need a financial calculator.  The financial calculator lacks the logarithmic functions but includes the rate and time (present and future) values of money.","June 24, 2013",the United States
18,5.0,Calculates,"I got this to use for my college algebra class and it has been excellent. I went with pink because it was the cheapest color. No regrets.Update: I have used this calculator for over a year now and it has never disappointed me. It got me through a college algebra class perfectly fine. Currently, it is still going strong through calculus and trigonometry (via a precalculus class). It doesn't graph - but for what I paid it has done everything else. I'm so happy with it that I bought one for my fiancee so we don't have to fight over this one while doing math together. So far, I haven't really found a function it wasn't able to do and with a statistics class in the lineup, it looks like this will be another very useful tool. I never thought I would be reviewing a calculator.","November 2, 2018",the United States
19,5.0,Will get you through any class that doesn't require graphing,"It's easy to use and learn, but I got this as a backup for my classes that don't require a graphing calculator and coming from a backlit screen to this means it can be kind of hard to read sometimes since it doesn't have a backlight. That being said I used a calculator just like this all throughout high school with no problem. And for the price I'd have gone with this one over a graphing calculator every time if my calc classes didn't require a graphing calculator. I also love the color!","November 22, 2020",the United States
20,5.0,THRILLED !!,"My son absolutely LOVEloveLOVES his calculator, uses it daily, and most sincerely akd sweetly thanks me again akd again for it daily !! He is “ o my” just shy of being 12 years old , however is working at about two full grades ahead of his classmates in math and reading skills, so, we are all very pleased with this purchase and he’s BEYOND thrilled with this product ... and already has a couple more fancy versions on his birthday wishlists 😁I’m positive he is going to be one of Texas Instruments’ life long loyal customers !! 💜","February 9, 2020",the United States
21,5.0,The best for my math students!,"I love this calculator. I have taught 7th grade math for years, and this is the calculator I choose for my kids. We can do so much with this calculator. A large poster in my classroom that was free from the company is very helpful","June 27, 2021",the United States
22,5.0,These calculators are handy. I'm a math major and ...,"These calculators are handy. I'm a math major and purchased this for a work related class, as they wanted to instruct on a scientific calculator, but not a fancy or costly one. I've been impressed and carry it around with me still. I have a TI-83plus and a TI-NSpire CAS, but this one still fits a niche. This particular blue calculator was a second purchase for my daughter for high school geometry class. She loves it.","October 11, 2017",the United States
23,5.0,My Favorite Calculator,"This is my favorite calculator. I am on my second one of them (one of them lasted through engineering school and finally had to put to rest when the screen broke after 5-6 years heavy use with things like 8 hour exams). I also requested that I get 2 for work, one for my desk in the office and one for my bench in the laboratory. For the price, this is an excellent calculator, and if you put in the time to learn the functions it can do quite a bit (calculates averages, standard deviations, and more).Also, I did try to switch to an app on my phone at one point, but none of them compare in functionality with a real scientific calculator, and usually phones are prohibited during exams.One other thing - this calculator is on the approved list for the Oregon Fundamentals of Engineering Exam as well. I wouldn't trust any other calculator (graphing calculators not allowed) to get me through that, and it did just fine.","July 21, 2014",the United States
24,5.0,"Great Price, Great Value","Like others have posted this is not as pictured.  The design is not the floral or the geometric as the two pictured.  The design part in these pictures is all white on the calculator I received.  If this is a big deal to you, you may want to go to a store where you can pick the design you want.  For me the pink color met my requirements.A great basic non graphing scientific calculator at a great price.  My school bookstore charges $20 for these and only has them in black.  Pink makes it stand out so you know it is yours and makes doing math more fun!It is solar powered with a battery back up.  It has a cover that snaps on the back when you dont need it shut, and there is a cheat sheet for the functions that is in the cover.  I love Texas Instruments, they make products meant to last.  This is a nice quality plastic making it very durable and last a life time.Cannot beat the price, and Prime 2 day free shipping.  Always looking to save a buck.","January 10, 2013",the United States
25,5.0,Real good math thingey,"This calculator can add stuff...like numbers. It can also subtract stuff...also numbers. I ain't used me the other symbols like the ""X"" and the line with the dots over and under it cuz they scare me. But I might've got me a cousin once who knowed how to use all them fancy symbols...he went to fifth grade...grandpappy seys he was the smartest one of the litter. I used to like to thump him. But now I got me a real fancy calculator so I bet he ain't laughing no more!","June 29, 2021",the United States
26,5.0,Good calculator,"Came on time and no damage present. I have prime so this came quickly.I need this for college, since some classes don't allow the use of a graphing calculator. I like this better than the TI-30a because it has the 2 line view.My school also sells it at their bookstore but it's $5-6 more than the price on Amazon, which is why I went with Amazon.I like using Texas Instruments calculators, because they're pretty good. I have a TI-84 plus and I've been using that since middle school.","February 1, 2017",the United States
27,5.0,Just Right for Teaching Chemistry Classes ...,"When working properly, these are wonderful calculators: affordable, simple to learn, fuctional, small, comes with case, easy to reset the memory, etc.It's not as bulky or expensive as something like the TI-89 and on series of graphing calculators.I recommend these calculators for all my chemistry classes. I've never had to use the sin, cos, and tan buttons, but one feature that is especially useful in science class is the ability to shift between scientific notation and normal notation (end, sci/eng, right, enter). It sounds more complicated than it really is and once you do it once, you'll be fine.Occasionally, there are individual calculators that will have poorly made buttons that stick a little. In that case, you have to be extra careful when inputting data, but usually this gets fixed with enough use.Conclusion: Good choice for science class.","June 1, 2014",the United States
28,5.0,School Supply Necessity,This type of calculator was on my son's 6th grade school Supply list. I was happy to see that Amazon had it for a very good price in a variety of colors. My kiddos is not so mad about math because of his Sonic blue calculator.,"August 10, 2022",the United States
29,5.0,Engineers can have pink too,"As an engineering student, I have to take a lot of math course. My calculus course allowed us to use a calculator - but of course not the fancy graphing one.I had gone all around my college town searching for this calculator. Seems like everyone needed it.Figured I’d give amazon a go and it was much cheaper - and in pink! No more getting confused whose is whose!So far, I love how it shows what I’ve typed in as a 2 line calculator. Some don’t show what you’ve previously typed in and you have to hope you pressed the right button!It’s also so easy to figure out.","December 3, 2018",the United States
30,5.0,Excellent,I purchased this for a physics class I was taking and it works great and did everything I needed it to do. Lot's of great videos on teh internet to learn how to use it. Terrific price for a name brand. I'm happy with my purchase and would purchase it again.,"May 16, 2022",the United States
31,5.0,Great calculator,"I like my gadgets to be colored differently from the normal grey and black and I needed a scientific calculator to grade statistics papers, so I bought this one for cheap.  I don't know what I can say - it's a great scientific calculator.  Has all of the functions that are necessary for me - sine, cosine, tangent; fraction to decimal; probability functions; several statistical functions (to the point that we don't actually allow this calculator on our statistics exams; it solves the mean, standard deviation and variance for a list of variables) and others.  There's a little card inside the cover that tells you how to perform these functions.  And it's pink!  I'm the only one with a pink calculator so I know it won't disappear.Only note - it's not exactly as pictured.  The window around the screen doesn't have any pink flowers on it; it's just white.  Other than that, it looks like the picture.","August 25, 2013",the United States
32,5.0,Great Quality,"I bought two of these for my 2 homeschooled middle schoolers to have as they venture into algebra and they’ve been great. I used Texas Instrument back in my Calculus days and when it came time to get my kids a good, durable calculator to last, there just wasn’t any question about it. This calculator is easy to use, displays your equation on the screen, and is good quality. This will last them through Algebra, Chem, and up until pre-Calc, when we will have to upgrade to graphing calculators. Very happy with these good looking, durable calculators.","February 26, 2020",the United States
33,5.0,Great calculator for students!,"I used this calculator for college-level chemistry and statistics. It was exactly what I needed, since more advanced versions  (TI-89s) weren't allowed by my professors. Even now that I've graduated, I still have this calculator on hand for every day tasks since it's more user friendly and practical than other models. Still works like a charm!","September 15, 2021",the United States
34,5.0,The next best thing to a TI-8X series graphing calculator,"The next best thing to a TI-8X series graphing calculator, for when you don't need or can't use a graphing calculator. No longer will I be forced to chose between hauling out the TI-89 or using free promotional item calculators that don't even do order of operations correctly. The fact that the TI-30X has more complicated functions than a standard desktop calculator is a great feature that discourage moderately stupid people from 'borrowing' it.","July 12, 2017",the United States
35,5.0,Best calculator for the money,"Needed a calculator for some science classes that do not require advance math functions...Chemistry, Biology, etc.  I was afraid that I would have to drop some serious $$$ on a scientific calculator but this one is pretty inexpensive and does everything I could have asked for.  Really though, except for the basic functions every calculator performs, I have only used the parenthesis and exponent functions often but I can say that they work well.  Also, the ""SCI"" mode helped me a lot with scientific notation problems.  Plus it is a TI, so I know it will last.  Unless you are about to embark on a deep mathematical journey or really need graphing functions, this calculator will rock your socks (as much as a calculator can).","March 23, 2015",the United States
36,5.0,Cool little calculator,"Cool little calculator, one downfall though, you have to look straight down on it to read the display clearly, you can't look at it from an angle, you won't be able to see the numbers correctly, I guess it's the way the LED display is designed, other than that, good little calculator!","July 20, 2021",the United States
37,5.0,Perfect match to my kids school supplies list,I was shopping for school supplies using the list provided by the school for my 5th grader.  They mentioned this model specifically as a suggested calculator.  Unfortunately when we went to Target they only had 3 pink ones left.  My boy didn't want a pink calculator.  Amazon saved the day by delivering it before school started and saving me a couple dollar over the Target price.I didn't use the calculator so I cannot comment on the functionality.  I have had good luck with Texas Instruments in the past so I assume it will work fine.,"September 5, 2018",the United States
38,5.0,Great price,I have it before. This is the second one. Easy to use. Reasonable price. Button will stuck at some point.,"January 16, 2022",the United States
39,5.0,"Great calculator, great price","Hands down one of the best buys for a middle school kid.  I got this for my 6th grader.  My 6th grader who's backpack had become a basketball, a sled, a seat and dragged on the ground.  The contents inside also took the abuse but this calculator stood the test of time and made it to high school.  It was replaced this in high school not because it died, didn't work right or for any other reason that we needed a different one.  This one will still last for years to come.Over the years, it has become scratched and the numbers wore slightly.  We lost the cheat sheet it once had.  We still have the cover and it still slides nicely.","March 20, 2016",the United States
40,5.0,Best overall “scientific calculator”. NOW IN PINK!,"This is overall the best non-graphing calculator in my opinion. Some calculators are better at specific things, but in my experience this is the best all-around calculator in the “scientific calculator” category.I also love that it comes in pink. As a straight white man in a majority-male electrical-trade school, it serves as a constant reminder for me to challenge my ingrained ideas of masculinity. Plus I’ll never lose it; the pink is bright and serves as a theft deterrent in my trade school.","February 18, 2020",the United States
41,5.0,Great product.,"I am a neophyte using some of the functions on this handheld TI, but the instructions are easy to follow.  This TI replaced an earlier version.  My old one lasted well over 10 years.  An excellent buy.","February 23, 2022",the United States
42,5.0,Cover,Lots of reviews referenced calc did not come with cover but it does include a hard slide cover that slides on on front when not in use and protects calc when in book bag.,"August 6, 2022",the United States
43,5.0,Works great,"Just what I needed for my class, easy to use, durable, and a large screen. I had to replace my old Texas Instruments TI-30 after about 15 years, I'm hoping this one will last as much.","May 30, 2022",the United States
44,5.0,"Durable, affordable, and functional calculator for school!","I've used this calculator for my first year of college and it's done an amazing job!I've used it a ton in my science and math classes. It did its job and survived being roughed up a bit-- the cover it comes with protects the calculator very well when it's in your bag. I've gone to and from school, and in between classes with it in my extremely full backpack. Even after a year of usage, my calculator shows no damage internally and externally.Most colleges and middle/high schools will recommend students to buy this calculator for school. Definitely worth the purchase, and comes in fun colors too.","August 11, 2017",the United States
45,5.0,A classic,"Best calculator for the money. Unless you want a graphing calculator, this is the one to get. The interface and memory become a staple after using it for a while.","July 14, 2022",the United States
46,5.0,can’t complain!,awesome! i used these in school &amp; had to buy one for a class i’m taking. i love the color &amp; it’s super easy to learn and easy to use. the screen is easy to read as well with nice bold numbers!i even dropped it from about 4 feet &amp; it’s been working great still!,"April 12, 2021",the United States
47,5.0,Best Calculator I've Ever Used!,"I've always used this particular model in high school, so I was excited when I saw there were different colors you can get it in. By the way, my last one died of unknown reasons...Either way, this calculator has been good so far. One of my favorite things about this product is that the memory functions are so easy to store and that you can solve multiple operations in one go! It's also compact and not to mention very cute.The only thing I dislike about it is that it's inconvenient at times. For instance, let's say I want to find 1 over 5pi or anything with a denominator that's a function of its own. If you type 1/5pi, the calculator reads it as 1/5 times pi. I know some of you probably will say: ""duh, that's obvious"". But it's annoying during tests when I'm pressed for time to have to miss a question because I forgot to add a bracket in my calculation.However, this calculator is still awesome and I'm totally independent on it. I got an F on my quiz because I forgot to bring this to school one day and had to borrow the teacher's old CASIO. I seriously do not know how to operate that thing. This is so much easier - and fool-proof, I should say, than most other scientific calculators.I hope this review was helpful to you, and that you learn from my mistakes and use mental math and dimensional analysis once in a while to prevent the occurrence of any errors in your work.","December 29, 2012",the United States
48,5.0,Our go-to calculator,"
TI-34 Multi View Calculator
-- I love the display and it's a very inexpensive upgrade for a middle schooler trying to make sense of something new.","February 3, 2013",the United States
49,5.0,"Well built, nice cover","My daughter needed a scientific calculator for school.  This one meets all her requirements and was a good bargain.  Since all algebraic calculators are basically the same, the thing that I really like about this one (other than the price) is the cover.The cover is a strong hard plastic that slides over the front, covering it completely.  When the calculator is in use, the covers slides onto the back.  That's a really handy way to keep the cover while it is in use while also providing great protection for the front of it when it is banging around in a backpack.Also on the cover is a really handy sticker with instructions for the lesser used -- and therefore harder to remember -- functions.","January 8, 2013",the United States
50,5.0,Works Great,"We already had one of these in green for my son.  His younger sister kept borrowing it because she liked it so much better than the one we had for her.  So we finally bought her one of her own.  She loves the bright blue and says the ""answer"" button is the best part.  Says makes Geometry much easier.","February 6, 2019",the United States
51,5.0,Can't beat a TI!,"I always used a TI when I was in school and college. I can't remember where I lost my TI 89 graphic one, which even had a link to copy programs from other TI graphics. This is the next best thing to a graphic one. It is a good gift for kids, so long as they don't use it for geometry or other subjects that require graphing or complex calculations.","June 17, 2020",the United States
52,5.0,Great price!,Cheapest price I’ve seen for this calculator! I was unsure if it came with a cover and it does! This will be perfect for my 6th grader.,"July 25, 2022",the United States
53,5.0,Works great. Love 2-line display.,"Function:It works great for basic and not so basic calculations and the 2-line display definitely helps when you are like me and need to double and triple check that you input the right equation (with my old one-liner I did the calculation twice just to make sure), so in that sense, it's a time saver.I particularly like the memory function. I can store values to constants I use frequently in certain calculations. Very easy and straight-forward.Looks:I carry large bags that hold half of my life at any given point. So when I need something it can take a while to find it. This calculator stands out from the other stuff because it has a very pretty, super girly bright pink color. Also, if you are in a big group of people (say, study group) and everyone has the same type of calculator, there will be no room for confusion--you'll be the only person with the hot pink one.Overall, a good product and it looks more fun than most. Yes, I am a nerd and find calculators fun!","November 10, 2011",the United States
54,5.0,Great price for a great product!,"It does what it's supposed to do. Before I started my fall semester at my local college, I needed a scientific calculator for my stats class. I went to my local Rite Aid and they were selling them for $99 a piece. When I looked on Amazon, they were $10.96 (at the time of purchase). Why would I pass up such a savings? I'm a college student, on a limited budget, I can't just throw away money when I need that money for basic essentials (like food, transportation costs, books, etc.).The calculator does everything I need it to and more. If you're looking for a great calculator at a great price, I highly suggest this product.","October 15, 2014",the United States
55,5.0,It Does What It Wants...,"And this bad boy wants to calculate! Nice and inexpensive! Proper thiccnesssssss! And oh so responsive to my touch!Does all the things you could possibly want from a calculator... except make waffles, which is the only actual complaint I have about it.","March 29, 2021",the United States
56,5.0,A hit with the kid,"The kid asked for this for school. But they don't just use it for school, they walk around playing with it.""Hey! Throw me a fraction! Any fraction!""No. No, I will not.","April 10, 2022",the United States
57,5.0,Did what it was supposed to,Not much to say about this calculator it works smoothly and efficiently. Had it for over 3 years now and it still works like new and I never had any issues with it. Easy to learn and use I would recommend to anyone looking for a small and efficient calculator.,"July 30, 2021",the United States
58,5.0,Simply elegant and incredibly cute!!,"As an accounting major in college, I use calculator A LOT. When I was on a hunt for a pink one this design immediately captured my eyes, however, the floral design on the top appeared to be a little bit tacky in my opinion. After reading previous reviews though I realized that the product is not exactly the same as shown here in the pic, instead of flowers the top part is just plain white. when I got it in the mail today, i was so excited for it and started using it right away. For this price nothing else can beat this one if you're looking for a calculator that stands out.I also uploaded a customer picture, go check it out :P","February 4, 2013",the United States
59,5.0,Math Class Must,"Slim design, but buttons and screen are easy to read.  Huge upgrade from the older bulky calculators.  The calculator performs all the functions needed for my college Math class.  Solid design for a great price!","June 23, 2022",the United States
60,4.0,"Takes some getting used to, but it's a good calculator and solar power is a plus","I bought this calculator for a chemistry course that didn't allow graphing calculators. I was hesitant to switch from my TI-89, which I love, and I will say this calculator took some getting used to. The buttons do not seem to be as sensitive as those on the TI-89, and I found that for the first several months I was constantly making ""typos"" that were actually just the calculator failing to register buttons that I had pressed. The buttons are 100% accurate as long as you type carefully, hitting the keys individually and pressing directly down on them rather than at an angle. So the calculator still works fine. I'm just used to the ease of typing of the other calculators I have used frequently, a TI-84 and a TI-89, which are much more forgiving and can be typed on much faster and more accurately. And obviously, even one missed key can create a big problem when doing a math problem. However, that's the only reason I'm deducting a start from this review.I'm quite pleased with everything else about this calculator. It has more functions than I expected for such a small device, and I LOVE the fact that it is solar powered (a feature that I wasn't aware of until I had owned the calculator for several weeks, as they don't advertise this fact nearly as much as they could). It is slim, light, and sturdy, and I've been using it for months with no technical problems. Overall, once I got used to it, I'm satisfied with it.","October 22, 2017",the United States
61,5.0,My 14 year old prefers this one,My 14 year old was entering high school this year and had this calculator in middle school that was a little beat up.  He wanted a new one.  They usually sell them at all the major stores but were out during back to school so picked it up on Amazon.  Works well.,"October 29, 2020",the United States
62,5.0,Great for ACT,"Ordered this calculator after reading up on which calculators were best for the ACT. It was so helpful on the math portion! Saves time to be able to quickly find the square root with the push of a single button or be able to multiply a number by a specific power. Love it! Comes with a case that snaps onto the back when the calculator is in use, and slides onto the front when not. Great price! And the pink color is bright and super cute. :)","December 30, 2016",the United States
63,5.0,Make Algebra painful again!,"You're probably aware of the App that allows students to take a picture of an equation, submit it to the App, and then are rewarded with the solved equation SHOWING THE WORK!  It's time to put the pain and anguish back in Algebra and have students actually learn something!  This calculator  should be considered mental exercise equipment. Lock up their phones, hand them this calculator- enjoy!","January 28, 2017",the United States
64,5.0,Great little calculator,"I needed to purchase this calculator for a statistics class that I took online. The calculator worked great, but does not have the graphing/dot plot capabilities. I used a separate application called StatCruch for that. As for this calculator, I recommend using Youtube to learn how to use some of the features. It did the job! Thanks.","April 8, 2020",the United States
65,5.0,Did Not Calculate.,Sorry I didn't get a pic but my ass of a 14 year old had took off from the house before I could even find out if it was awesome or not. But since it's a Texas Instruments I know it's awesome. It was pretty affordable too!,"February 20, 2021",the United States
66,5.0,"This new calculator comes in pink, and cost less than $20","My daughter needed a scientific calculator for school.  No problem I told her, I have a Ti-55 that I used in college that you can have.  After 30 years of sitting in dark drawers I put some new batteries in the old Ti-55 and fired her off.... Well sort of.... it did come on, but kinda refused to perform even the most basic of functions... Time for a new calculator.  This new calculator comes in pink, and cost less than $20.  I forget how many hundred that the old Ti-55 cost, but with inflation it would probably make a nice dent in the next semester of college payments...","November 13, 2014",the United States
67,5.0,Nice Calculator,"I bought this to replace a scientific calculator that was over 20 years old and had finally given up the ghost. One of the things I like about this calculator is that it shows the values and operations used in a calculation, which helps prevent errors in entry. Another great feature is that it has a solar panel to keep the included battery at full charge. Overall, it is a great value at little cost.","September 28, 2018",the United States
68,5.0,Awesome!,"Using this in my statistics class, I got to use it before in trigonometry which was offered at the high school I graduated from. Packaged with some sort of bubble wrap, air filled pickets to cover the calculator that already comes in its own thin cardboard and plastic, A big box carrying everything... This came early with Prime so that worked out very well with my timing. Very useful for college level math and easier to use than the big TI calculators.","January 27, 2022",the United States
69,5.0,There isn’t much it can’t do,"I use it for routine stuff and statistical computing after mastering the way it works. The predicessor to this one endured a dose of Drambouie and subsequent tap water rinse. After three days of Arizona sun and dry air, it worked as if nothing had happened. Unfortunately, it’s among the missing from our last move; but I can attest to it’s ruggedness. You can’t go wrong with this one!","February 18, 2019",the United States
70,5.0,"Feels great, love the color","I've owned a few of these before, glad to say that this one functions very well, the buttons are highly responsive. Hope they make more in this color!","October 26, 2021",the United States
71,5.0,I gave to a friend,"This was too complicated for me.  I thought that I was ordering the simple 1+1=2 but that’s not how this one works.  It’s great, just not the type I was looking for.","September 5, 2021",the United States
72,5.0,Precisely what I wanted,"This replaced my 25+ year old TI calculator.  It's practically its twin, so I'm pleased with it.","June 11, 2022",the United States
73,5.0,Exactly as Described,"I am currently using this calculator for a class that focuses on Calculus for life sciences and it works as I need it to. So far, the log and ln functions have come in the most handy. I would recommend this calculator for anyone taking a calculus course, though it would work for any math course.","January 25, 2020",the United States
74,5.0,Great price for product,"This was the specific calculator we had to have for my daughter's 8th grade math according to the registration info.  Our WalMart offered the same item at 3 times the price.  So glad we bought on Amazon!  It is a decent advanced calculator, but don't get this if you are college level, get a true graphing calculator.","October 26, 2018",the United States
75,5.0,Great calculator,It's a calculator that workes and is not a complicated app you install on your computer.,"July 30, 2022",the United States
